subject_id,time,k__Archaea.p__Euryarchaeota.c__Methanobacteria,k__Bacteria.p__Acidobacteria.c__Solibacteres,k__Bacteria.p__Actinobacteria.c__,k__Bacteria.p__Actinobacteria.c__Actinobacteria..class.,k__Bacteria.p__Bacteroidetes.c__Bacteroidia,k__Bacteria.p__Bacteroidetes.c__Flavobacteria,k__Bacteria.p__Bacteroidetes.c__Sphingobacteria,k__Bacteria.p__Cyanobacteria.c__,k__Bacteria.p__Cyanobacteria.c__mle1.12,k__Bacteria.p__Firmicutes.c__Bacilli,k__Bacteria.p__Firmicutes.c__Clostridia,k__Bacteria.p__Fusobacteria.c__Fusobacteria..class.,k__Bacteria.p__OP10.c__CH21,k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria,k__Bacteria.p__Proteobacteria.c__Betaproteobacteria,k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria,k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria,k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria,k__Bacteria.p__Synergistetes.c__Synergistia,k__Bacteria.p__TM7.c__TM7.3,k__Bacteria.p__Tenericutes.c__Erysipelotrichi,k__Bacteria.p__Tenericutes.c__ML615J.28,k__Bacteria.p__Tenericutes.c__Mollicutes,k__Bacteria.p__Thermi.c__Deinococci,k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae,k__Archaea.p__Crenarchaeota.c__Thaumarchaeota,k__Bacteria.p__Acidobacteria.c__Chloracidobacteria,k__Bacteria.p__Chloroflexi.c__Bljii12,k__Bacteria.p__Chloroflexi.c__SOGA31,k__Bacteria.p__Chloroflexi.c__Thermomicrobia,k__Bacteria.p__Gemmatimonadetes.c__Gemmatimonadetes..class.,k__Bacteria.p__SPAM.c__,k__Bacteria.p__SR1.c__,k__Bacteria.p__Spirochaetes.c__Spirochaetes..class.,k__Bacteria.p__Verrucomicrobia.c__Spartobacteria,k__Archaea.p__Crenarchaeota.c__Sd.NA,k__Archaea.p__Euryarchaeota.c__Halobacteria,k__Archaea.p__Euryarchaeota.c__Methanomicrobia,k__Archaea.p__Euryarchaeota.c__Thermoplasmata,k__Bacteria.p__.c__,k__Bacteria.p__ABY1_OD1.c__,k__Bacteria.p__AD3.c__ABS.6,k__Bacteria.p__AD3.c__JG37.AG.4,k__Bacteria.p__Acidobacteria.c__,k__Bacteria.p__Acidobacteria.c__Acidobacteria..class.,k__Bacteria.p__Acidobacteria.c__Acidobacteria.5,k__Bacteria.p__Acidobacteria.c__Holophagae,k__Bacteria.p__Acidobacteria.c__MVS.40,k__Bacteria.p__Acidobacteria.c__OS.K,k__Bacteria.p__Acidobacteria.c__PAUC37f,k__Bacteria.p__Acidobacteria.c__RB25,k__Bacteria.p__Acidobacteria.c__Sva0725,k__Bacteria.p__Acidobacteria.c__iii1.8,k__Bacteria.p__Aquificae.c__Aquificae..class.,k__Bacteria.p__BRC1.c__,k__Bacteria.p__BRC1.c__PRR.11,k__Bacteria.p__Bacteroidetes.c__,k__Bacteria.p__CCM11b.c__,k__Bacteria.p__Caldithrix_KSB1.c__Caldithrixae,k__Bacteria.p__Chlamydiae.c__Chlamydiae..class.,k__Bacteria.p__Chlorobi.c__,k__Bacteria.p__Chlorobi.c__BSV19,k__Bacteria.p__Chlorobi.c__OPB56,k__Bacteria.p__Chlorobi.c__SJA.28,k__Bacteria.p__Chlorobi.c__ZB1,k__Bacteria.p__Chloroflexi.c__,k__Bacteria.p__Chloroflexi.c__Anaerolineae,k__Bacteria.p__Chloroflexi.c__Chloroflexi..class.,k__Bacteria.p__Chloroflexi.c__Chloroflexi.4,k__Bacteria.p__Chloroflexi.c__Ktedonobacteria,k__Bacteria.p__Chloroflexi.c__TK17,k__Bacteria.p__Chloroflexi.c__Thermobacula,k__Bacteria.p__Cyanobacteria.c__S15B.MN24,k__Bacteria.p__Cyanobacteria.c__SM1D11,k__Bacteria.p__Cyanobacteria.c__YS2,k__Bacteria.p__Deferribacteres.c__Deferribacteres..class.,k__Bacteria.p__Elusimicrobia.c__Elusimicrobia..class.,k__Bacteria.p__Fibrobacteres.c__Fibrobacteres..class.,k__Bacteria.p__GN02.c__,k__Bacteria.p__GN02.c__VC12.cl04,k__Bacteria.p__Lentisphaerae.c__,k__Bacteria.p__Lentisphaerae.c__Lentisphaerae..class.,k__Bacteria.p__MVP.15.c__,k__Bacteria.p__NC10.c__,k__Bacteria.p__NKB19.c__,k__Bacteria.p__Nitrospirae.c__Nitrospira..class.,k__Bacteria.p__OP10.c__,k__Bacteria.p__OP10.c__5B.18,k__Bacteria.p__OP10.c__CL500.48,k__Bacteria.p__OP10.c__OS.L,k__Bacteria.p__OP10.c__S1a.1H,k__Bacteria.p__OP10.c__SJA.176,k__Bacteria.p__OP10.c__SJA.22,k__Bacteria.p__OP11.c__,k__Bacteria.p__OP3.c__,k__Bacteria.p__OP8.c__OP8,k__Bacteria.p__Planctomycetes.c__FFCH393,k__Bacteria.p__Planctomycetes.c__Kueneniae,k__Bacteria.p__Planctomycetes.c__PW285,k__Bacteria.p__Planctomycetes.c__Phycisphaerae,k__Bacteria.p__Planctomycetes.c__Planctomycea,k__Bacteria.p__Planctomycetes.c__agg27,k__Bacteria.p__Planctomycetes.c__vadinHA49,k__Bacteria.p__SC3.c__,k__Bacteria.p__SC4.c__,k__Bacteria.p__Spirochaetes.c__Brachyspirae,k__Bacteria.p__Spirochaetes.c__Leptospirae,k__Bacteria.p__Spirochaetes.c__SP_WWE1,k__Bacteria.p__TM6.c__,k__Bacteria.p__TM7.c__,k__Bacteria.p__TM7.c__TM7.1,k__Bacteria.p__Tenericutes.c__,k__Bacteria.p__Thermotogae.c__Thermotogae..class.,k__Bacteria.p__Verrucomicrobia.c__,k__Bacteria.p__Verrucomicrobia.c__Opitutae,k__Bacteria.p__Verrucomicrobia.c__TP21,k__Bacteria.p__WPS.2.c__,k__Bacteria.p__WS3.c__PRR.12,k__Bacteria.p__ZB2.c__
M3_14,1,0,3.02e-05,0,0.234456702,0.153936829,0.01880006,0.001420583,0.008886202,0,0.138310413,0.176877739,0.150974762,0,0.002327339,0.053438114,6.05e-05,0.007163367,0.044823938,0.000605,0.000121,0.000453,0,0.000121,0,9.07e-05,3.02e-05,9.07e-05,0,3.02e-05,3.02e-05,3.02e-05,0,0.000786,0.00595436,0,0,0,0,0,0,0,0,0,0,9.07e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3_15,1,0,2.46e-05,0,0.259223707,0.080189028,0.015973812,0.000345,0.001132196,0,0.276108199,0.106967929,0.068817839,0,0.001009131,0.064609023,7.38e-05,0.005611755,0.117477664,0.000172,0.000246,0.000738,0,2.46e-05,4.92e-05,0,0,0,0,2.46e-05,0,0,0,9.85e-05,0.001058357,2.46e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3_16,1,2.71e-05,0,2.71e-05,0.170048701,0.029301948,0.007494589,0.002218615,0.015340909,0,0.461498918,0.067694805,0.016666667,0,0.00974026,0.052245671,0.000649351,0.001298701,0.162797619,0,5.41e-05,0.000758,0,0.000135,0.000162,0.000135,5.41e-05,0.000108,0,0.000162,0.000189,5.41e-05,0,8.12e-05,0.000162,5.41e-05,0,0,0,0,0,0,0,0,0,0.000514,0,0,0,0,0,0,2.71e-05,2.71e-05,0,0,0,8.12e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71e-05,0,0,0,0,0,0,0,0,0,0,5.41e-05,8.12e-05,0,0,0,0,0,2.71e-05,0,0,0,0,0,0,0,0,0,0,0,0
M3_19,1,0,3.32e-05,0.000266,0.168160393,0.052114453,0.010323309,0.002223993,0.277136029,0,0.188508265,0.070968599,0.088395406,0,0.007900153,0.03989909,0.000199,0.00567616,0.081325101,0.000432,0.000332,0.001228175,0,0.000863,6.64e-05,6.64e-05,6.64e-05,6.64e-05,0,6.64e-05,0.000199,9.96e-05,0,0,0.003020647,6.64e-05,0,0,0,0,0,0,0,0,0,0.000199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3_21,1,0,0.000429,0.000184,0.154944685,0.02846986,0.011706659,0.015138978,0.148509086,0,0.266311176,0.072660967,0.014372836,0,0.0388894,0.058073611,0.001900034,0.001164537,0.161349637,3.06e-05,0,0.002819405,0,0.016671264,0.000245,0.00046,0.000276,0.000766,0,0.000644,0.000705,0.00046,0,9.19e-05,0.00049,0.000184,0,0,0,0,0,0,0,0,3.06e-05,0.001041954,0,0,0,0,3.06e-05,0,0,0,0,0,3.06e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06e-05,0,0,0,0,0,0,3.06e-05,0,0,0,0,0,0,0,0,0,0,3.06e-05,0,0,0,0,0,0,0,0.000123,0,0,0.000245,0.000368,0,0,0,9.19e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3_24,1,0,2.81e-05,0,0.246699624,0.087747879,0.00148868,0.000309,0.006291781,0,0.228638841,0.247401831,0.001853828,0,0.003370597,0.014268861,0.000365,0.00249986,0.158642773,0,0,0,0,0,5.62e-05,2.81e-05,0,2.81e-05,0,0,2.81e-05,2.81e-05,0,0,5.62e-05,0,0,0,0,0,0,0,0,0,0,0.000112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3_26,1,0,0.000112,0,0.336253369,0.044736448,0.001534891,0.0012354,0.003219527,0,0.431341719,0.1274708,0.002994909,0,0.004604672,0.010519617,0.000187,0.000749,0.032681941,0,0,0.000449,0,0.000898,0.00015,0,3.74e-05,0.000187,0,0.00015,0.00015,3.74e-05,0,0,7.49e-05,3.74e-05,0,0,0,0,0,0,0,0,0,0,3.74e-05,0,0,0,0,0,0,7.49e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74e-05,3.74e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3_28,1,0,0.00029,7.26e-05,0.145764557,0.03660439,0.006493742,0.007183022,0.023072737,0,0.483185199,0.066170869,0.026374025,0,0.027099583,0.033520769,0.001523671,0.001052059,0.127081444,3.63e-05,7.26e-05,0.006602576,0,0.002104118,0.000726,0.000399,0.000254,0.000327,0,0.000472,0.000653,0.000508,0,3.63e-05,0.000762,0.000145,0,0,0,0,0,0,0,0,0,0.000689,0,0,0,0,0,0,0,0.000109,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63e-05,0,0,0,0,0,0,0,7.26e-05,0.000109,0,0,0,0,0,0,0,0,0,7.26e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,7.26e-05,0.000254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3_29,1,0,0.00034,0,0.269706442,0.030782821,0.005979886,0.008426203,0.022560478,0,0.381863278,0.079233487,0.013522696,0,0.02697744,0.038223702,0.001019299,0.001189182,0.108283501,0,0,0.003329709,0,0.004484914,0.000136,0.000204,6.8e-05,0.000374,0,0.000306,0.000544,0.000204,0,3.4e-05,0.00017,0.000102,0,0,0,0,0,0,0,0,0.00017,0.000917,0,0,0,0,0,0,0.000102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4e-05,0,0,0,0,0,0,0,6.8e-05,0,0,0.00017,0.00017,0,0,0,0.000204,0,0,0,0,0,0,0,0,0,6.8e-05,0,0,0,0
M3_31,1,0,0,0,0.42935745,0.044143688,0.001454591,0.001602159,0.004764314,0,0.350746269,0.12256514,0.003035669,0,0.005375664,0.005544312,0.000274,0.001644321,0.026604267,0.000843,2.11e-05,0.000485,0,0.000506,4.22e-05,2.11e-05,4.22e-05,8.43e-05,0,4.22e-05,0.000169,6.32e-05,0,2.11e-05,8.43e-05,0,0,0,0,0,0,0,0,0,0,0.000422,0,0,0,0,0,0,2.11e-05,2.11e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
